URL_NUM,URL_NAME,NLP_READING_TIME_IN_MINS_212WPM,BSOUP_NUMWORDS,NLP_NUMWORDS,META_YEARS_SINCE_FIRST_PUBLISHED,META_YEARS_SINCE_LAST_MODIFIED,NLP_FIRST_PUBLISHED_DATETIME,META_FIRST_PUBLISHED_DATE,META_LAST_MODIFIED_DATETIME,NLP_KEYWORDS,TITLE_TAG_VALUE,META_DESCRIPTION
url11,https://www.cookwithmanali.com/20-mothers-day-brunch-recipes/,1.5,334,317,8.734,8.578,2015-05-07T06:00:41,2015-05-07T06:00:41,2015-07-03T12:28:18,moms - course - brunch - mom - nutella - 20 - place - recipes - special - mothers - day,20 Mother's Day Brunch Recipes - Cook With Manali,20 Mother's Day Brunch Recipes which are sure to make her day memorable!
url12,https://www.cookwithmanali.com/20-treats-valentines-day/,1.2,270,253,8.964,8.578,2015-02-12T02:06:53,2015-02-12T02:06:53,2015-07-03T12:31:34,treats - chocolate - chocolates - macarons - cream - agree - nutella - 20 - recipes - valentines - day,20 Treats for Valentine's Day - Cook With Manali,Can you believe that Valentine's Day is just 2 days away which actually means we are in mid Feb! How and why does time fly so quickly? The year just
url13,https://www.cookwithmanali.com/25-non-alcoholic-summer-drinks/,1.8,386,373,7.559,7.559,2016-07-09T01:29:55,2016-07-09T01:29:55,2016-07-09T01:29:55,nonalcoholic - drinks - cook - mint - tea - summer - cooler - pin - 25 - lemonade - iced,25 + Non-Alcoholic Summer Drinks - Cook With Manali,Happy weekend guys! Today I have a refreshing recipe round-up for you! You guys already know that I don't drink alcohol of any kind. But what's a summer
url14,https://www.cookwithmanali.com/3-ingredient-strawberry-nutella-tart/,3.4,698,716,8.973,6.074,2015-02-09T03:05:45,2015-02-09T03:05:45,2018-01-02T00:30:40,pastry - sugar - ingredient - using - nutella - strawberry - puff - strawberries - easy - tart - g,3 Ingredient Strawberry Nutella Tart - Cook With Manali,3 Ingredient Strawberry Nutella Tart made using store bought Puff Pastry is an easy dessert to whip up this Valentine's Day!
url15,https://www.cookwithmanali.com/35-valentines-day-recipes/,2.3,502,490,7.986,7.986,2016-02-04T00:50:20,2016-02-04T00:50:20,2016-02-04T13:02:59,cook - chocolate - sugar - recipe - 35 - recipes - velvet - valentines - cake - cheesecake - day,35+ Valentine's Day Recipes - Cook With Manali,When it comes to Valentine's Day recipes I can't think beyond chocolate! The fact that I am a chocoholic may or may not have to do anything with this!
url16,https://www.cookwithmanali.com/45-vegetarian-thanksgiving-recipes/,1.8,404,388,6.2,5.334,2017-11-17T00:05:35,2017-11-17T00:05:35,2018-09-29T16:21:32,vegetarian - sweet - spinach - orange - pumpkin - potato - recipes - roasted - pot - 45 - thanksgiving,45+ Vegetarian Thanksgiving Recipes - Cook With Manali,"Thanksgiving is here! And if  you are wondering what to serve to your vegetarian guests, then I have got you covered with this round-up of 45+ vegetarian"
url17,https://www.cookwithmanali.com/aam-ki-launji/,6.1,1318,1296,5.819,5.778,2018-04-05T11:21:06,2018-04-05T11:21:06,2018-04-20T11:14:26,mango - raw - sweet - mix - sugar - ki - add - launji - aam - spicy - mangoes - spice - chutney,Aam ki Launji (Sweet & Spicy Raw Mango Chutney) - Cook With Manali,Aam ki Launji - a sweet and spicy chutney made with raw green mangoes. This chutney is the perfect accompaniment to your Indian meals!
url18,https://www.cookwithmanali.com/aam-panna/,3.6,769,769,7.638,6.074,2016-06-10T00:41:59,2016-06-10T00:41:59,2018-01-02T00:16:29,raw - mint - glass - serve - black - drink - aam - panna - water - mangoes,Aam Panna - Cook With Manali,Aam Panna is a refreshing Indian summer drink made with raw green mangoes and a mix of spices. It is known for it's heat resistant properties!
url19,https://www.cookwithmanali.com/acai-bowl/,6.0,1388,1275,2.759,2.756,2021-04-26T20:23:17,2021-04-26T20:23:17,2021-04-27T10:55:05,bowl - acai - sugar - banana - smoothie - using - freeze - bowls - berries - frozen,Acai Bowl - Cook With Manali,Homemade Acai Bowls made with frozen acai and topped with fresh fruits and granola. This filling breakfast is a great way to start your day!
url20,https://www.cookwithmanali.com/achari-bhindi/,5.0,1671,1066,2.671,2.671,2021-05-28T12:25:34,2021-05-28T12:25:34,2021-05-28T12:32:29,mustard - yogurt - add - recipe - achari - heat - spices - bhindi - seeds - okra,Achari Bhindi - Cook With Manali,"Okra is cooked with picking spices, yogurt in this Achari Bhindi. Tangy, spicy, this goes so well with flatbreads with roti and paratha."
url21,https://www.cookwithmanali.com/achari-mathri/,9.0,3061,1908,2.274,2.274,2021-10-20T18:55:49,2021-10-20T18:55:49,2021-10-20T18:55:53,masala - mathri - mathris - fryer - flour - dough - add - filling - achari - oil - oven - air - baked,Achari Mathri (Air Fryer or Oven Baked) - Cook With Manali,These crispy Achari Mathri are made in the air fryer which makes them a healthier alternative to traditional mathris!
url22,https://www.cookwithmanali.com/achari-onion-paratha/,5.2,1097,1100,6.726,6.074,2017-05-09T05:28:27,2017-05-09T05:28:27,2018-01-02T00:14:04,dough - onion - chopped - paratha - achari - oil - pickle - parathas - masala - till - seeds,Achari Onion Paratha - Cook With Manali,"Achari Onion Paratha is the perfect breakfast to wake up to. Enjoy these soft flabtbreads with yogurt, butter and a side of chai! Vegan."
url23,https://www.cookwithmanali.com/affiliate-advertising-disclosure/,0.7,161,153,6.458,6.447,2017-08-15T00:06:08,2017-08-15T00:06:08,2017-08-19T19:39:01,yousponsored - cookies - disclosure - program - affiliate - sponsored - amazoncom - useful - blog - advertising - write,Affiliate & Advertising Disclosure - Cook With Manali,No meta description found.
url24,https://www.cookwithmanali.com/afghani-pulao/,7.9,1667,1684,8.512,5.49,2015-07-27T01:40:23,2015-07-27T01:40:23,2018-08-03T12:53:29,carrots - add - pan - rice - heat - oil - raisins - afghani - water - pulao - minutes,Afghani Pulao - Cook With Manali,Lightly sweetened Vegetarian Afghani Pulao with carrots and raisins makes a great meal! Serve it as such or a with a side of yogurt or borani banjan.
url25,https://www.cookwithmanali.com/air-fryer-aloo-gobi/,5.4,1913,1138,2.373,2.37,2021-09-14T23:02:55,2021-09-14T23:02:55,2021-09-15T09:45:46,cut - add - fryer - gobi - powder - aloo - cauliflower - potatoes - air - minutes,Air Fryer Aloo Gobi - Cook With Manali,"Air Fryer Aloo Gobi is the easiest aloo gobi you will ever make! Amazing texture, hands-free cooking, vegan and gluten-free."
url26,https://www.cookwithmanali.com/air-fryer-chickpeas/,4.3,1505,917,1.819,1.819,2022-04-04T14:42:50,2022-04-04T14:42:50,2022-04-04T14:42:53,paper - completely - add - fryer - crispy - dry - oil - super - air - chickpeas,Crispy Air Fryer Chickpeas - Cook With Manali,"Air Fryer Chickpeas turn out super crispy and make the perfect snack! They are vegan, gluten-free and also great on salads and soups!"
url27,https://www.cookwithmanali.com/air-fryer-garlic-bread/,6.5,2181,1388,1.964,1.964,2022-02-10T22:47:21,2022-02-10T22:47:21,2022-02-10T22:47:24,cut - add - cheesy - fryer - butter - using - garlic - plain - bread - cheese - air - minutes,Air Fryer Garlic Bread (Cheesy & Plain!) - Cook With Manali,Air Fryer Garlic Bread is the easiest garlic bread you can make! It takes less than 20 minutes to make this cheesy garlic bread!
url28,https://www.cookwithmanali.com/air-fryer-gujiya/,8.6,2935,1825,1.871,1.871,2022-03-16T22:08:15,2022-03-16T22:08:15,2022-03-16T22:08:20,gujiyas - sugar - dough - fryer - add - mawa - filling - air - syrup - gujiya,Air Fryer Gujiya - Cook With Manali,"Filled with mawa, nuts and raisins, these Air Fryer Gujiya are a healthier alternative to the traditional deep fried version."
url29,https://www.cookwithmanali.com/air-fryer-masala-cashews/,3.7,1294,785,2.852,2.852,2021-03-23T20:40:22,2021-03-23T20:40:22,2021-03-23T20:40:22,coated - fryer - flour - recipe - water - spices - air - masala - cashews - minutes,Air Fryer Masala Cashews - Cook With Manali,Spicy Crispy Masala Cashews made in the air fryer make a great chai time snack. They are also vegan and gluten-free.
url30,https://www.cookwithmanali.com/air-fryer-masala-fries/,5.6,1822,1194,2.403,2.403,2021-09-03T18:04:27,2021-09-03T18:04:27,2021-09-03T18:04:31,cut - fryer - fries - using - 20 - potato - air - slices - masala - minutes,Air Fryer Masala Fries - Cook With Manali,"Air fryer Masala Fries are spicy, tangy and make the perfect snack or appetizer. The air fryer makes it so easy to make these fries at home."
url31,https://www.cookwithmanali.com/air-fryer-onion-pakoda/,6.2,2205,1307,2.011,2.008,2022-01-24T20:30:55,2022-01-24T20:30:55,2022-01-25T01:20:31,spray - onion - pakoda - pakodas - fryer - besan - oil - temperature - teaspoon - air - minutes,Air Fryer Onion Pakoda - Cook With Manali,"These Air Fryer Onion Pakoda taste just as good as the deep fried version! They are crispy, crunchy & makes a great snack with a cup of chai!"
url32,https://www.cookwithmanali.com/ajwain-cookies/,4.4,1454,934,4.444,0.729,2019-08-20T00:05:26,2019-08-20T00:05:26,2023-05-07T18:23:00,cut - wheat - cookies - dough - ajwain - flour - crispy - baking - dont - biscuits - roll,Ajwain Cookies (Ajwain Biscuits) - Cook With Manali,Crispy and crunchy Ajwain Cookies are popular chai time cookies. These are easy to make with basic pantry ingredients and are also eggless!
url33,https://www.cookwithmanali.com/almond-cookies/,5.2,1067,1097,9.233,0.729,2014-11-06T11:10:33,2014-11-06T11:10:33,2023-05-07T18:23:23,cookies - dough - butter - flour - add - mixer - using - almond - till - minutes,Almond Cookies - Cook With Manali,Crispy & Buttery Indian style Eggless Almond Cookies. So good with coffee or tea!
url34,https://www.cookwithmanali.com/almond-flour-bars-gluten-free/,3.4,717,715,9.822,0.729,2014-04-05T18:49:14,2014-04-05T18:49:14,2023-05-07T18:01:12,cup - butter - flour - bars - mg - baking - gluten - almond - honey - g - seeds - free,Almond Flour Bars - Gluten Free - Cook With Manali,"Healthy gluten free almond flour bars made with almond meal, almond butter, flax seeds, honey and walnuts. Great post-workout snack!"
url35,https://www.cookwithmanali.com/almond-flour-masala-crackers/,6.0,1885,1269,2.047,1.948,2022-01-11T00:31:14,2022-01-11T00:31:14,2022-02-16T18:48:44,thickness - crackers - dough - snack - flour - roll - recipe - using - almond - spices - masala,Almond Flour Masala Crackers - Cook With Manali,"These Almond Flour Masala Crackers are crispy, spiced with Indian spices and make a great low-carb and gluten-free snack!"
url36,https://www.cookwithmanali.com/almond-jaggery-cookies/,4.2,1425,880,3.992,0.729,2020-02-01T00:05:04,2020-02-01T00:05:04,2023-05-07T18:22:55,vegan - milk - cookies - dough - sugar - flour - roll - almond - bake - used - jaggery,Vegan Almond Jaggery Cookies - Cook With Manali,Vegan Almond Jaggery Cookies made with whole wheat flour and are also refined sugar free. Great with a cup of chai or coffee!
url37,https://www.cookwithmanali.com/almond-maple-granola-raisins/,4.3,875,909,9.277,6.074,2014-10-21T10:10:21,2014-10-21T10:10:21,2018-01-02T00:33:18,almonds - coconut - pumpkin - granola - almond - maple - oats - raisins - g - till,Almond Maple Granola with Raisins - Cook With Manali,Say hello to my homemade granola again! I posted my Peanut Butter Chocolate Chip Coconut Granola not a longtime back and I'm again back with another
url38,https://www.cookwithmanali.com/almond-milk-rice-pudding/,5.4,1134,1143,8.597,6.074,2015-06-26T12:06:19,2015-06-26T12:06:19,2018-01-02T00:26:02,milk - pudding - add - sugar - rice - mg - almond - heat - ghee - minutes,Almond Milk Rice Pudding - Cook With Manali,"Almond Milk Rice Pudding flavored with cardamom, saffron & topped with nuts!"
url39,https://www.cookwithmanali.com/almond-raisin-granola-bars/,5.0,1056,1063,9.405,0.729,2014-09-04T13:23:47,2014-09-04T13:23:47,2023-05-07T18:01:07,cup - mixture - pan - raisin - bars - using - almond - oats - dates - granola - till - minutes,Almond Raisin Granola Bars - Cook With Manali,Delicious and healthy Almond Raisin Granola Bars are naturally sweetened with dates and super easy to make at home!
url40,https://www.cookwithmanali.com/aloo-beans/,2.7,895,578,9.068,6.074,2015-01-05T14:33:48,2015-01-05T14:33:48,2018-01-02T00:32:37,vegan - cook - way - onion - beans - simple - powder - aloo - food - spiced - green - till - potatoes,Aloo Beans [Spiced Potatoes with Green Beans] - Cook With Manali,"Sometime back I read that on an average a person gains around 5 pounds of weight during the holiday season. I don't know how accurate this is, but I can"
url41,https://www.cookwithmanali.com/aloo-bhujia-sabzi/,3.6,1205,770,4.03,4.03,2020-01-18T00:05:19,2020-01-18T00:05:19,2020-01-18T20:51:12,sabzi - stir - mustard - turmeric - add - tempering - potato - aloo - oil - heat - potatoes - bhujia - fry,Aloo Bhujia Sabzi (Potato Stir Fry) - Cook With Manali,"Aloo Bhujia Sabzi aka simple potato stir-fry the way it's made in Bihar and Eastern UP! Simple, quick and easy and goes so well with paratha."
url42,https://www.cookwithmanali.com/aloo-chaat-delhi-style/,6.0,2070,1268,2.307,2.307,2021-10-08T00:38:53,2021-10-08T00:38:53,2021-10-08T00:38:56,juice - add - fryer - chaat - recipe - delhi - aloo - dont - potatoes - air - style - fry - minutes,Aloo Chaat - Delhi Style (Air Fryer) - Cook With Manali,Tangy potatoes are cooked in air fryer & then tossed with spices in this Delhi Style Aloo Chaat! Perfect way to satisfy those chaat cravings!
url43,https://www.cookwithmanali.com/aloo-chaat-pizza/,7.2,2101,1528,3.364,3.364,2020-09-17T00:38:37,2020-09-17T00:38:37,2020-09-17T00:43:23,slice - dough - chaat - recipe - indian - pizza - aloo - potatoes - slices - cheese,Aloo Chaat Pizza - Cook With Manali,"This Aloo Chaat Pizza is an Indian inspired pizza topped with thinly sliced spiced potatoes, chutneys and cilantro!"
url44,https://www.cookwithmanali.com/aloo-gobi/,5.6,1198,1192,9.367,4.63,2014-09-18T15:54:56,2014-09-18T15:54:56,2019-06-13T12:32:11,cook - add - gobi - powder - cauliflower - aloo - teaspoon - potatoes - masala - till - minutes,Aloo Gobi - Potatoes & Cauliflower - Cook With Manali,"Aloo Gobi - Potatoes and cauliflower cooked with onion, tomatoes & spices is a popular Indian recipe."
url45,https://www.cookwithmanali.com/aloo-kulcha/,8.6,1788,1818,8.463,6.074,2015-08-14T01:21:02,2015-08-14T01:21:02,2018-01-02T00:23:41,dough - add - taste - filling - powder - aloo - tawa - heat - water - till - kulcha,Aloo Kulcha - Cook With Manali,Aloo Kulcha is leavened Indian Flatbread stuffed with spicy potato filling. Great with curries!
url46,https://www.cookwithmanali.com/aloo-matar-paneer/,3.5,1359,752,3.786,0.688,2020-04-16T00:05:56,2020-04-16T00:05:56,2023-05-22T15:20:13,paneer - cup - add - tomato - matar - using - instant - aloo - pot - frozen - masala - minutes,Instant Pot Aloo Matar Paneer - Cook With Manali,Easy and quick Aloo Matar Paneer made using frozen onion tomato masala. This curry is a breeze to make in the Instant Pot and gets done in 20 minutes!
url47,https://www.cookwithmanali.com/aloo-matar-tehri/,5.5,1969,1159,0.375,0.373,2023-09-13T01:20:00,2023-09-13T01:20:00,2023-09-14T09:08:22,cook - add - rice - vegetable - recipe - tehri - tahri - oil - pressure - spices - heat - cooker - style - minutes,Tehri Recipe | Tahri (UP Style Vegetable Rice) - Cook With Manali,Tehri is a vegetable rice dish made with whole spices and vegetables. This one-pot meal is popular in the state of Uttar Pradesh in India.
url48,https://www.cookwithmanali.com/aloo-matar/,5.8,2045,1235,1.808,1.808,2022-04-08T01:10:00,2022-04-08T01:10:00,2022-04-08T10:00:11,cook - add - matar - indian - recipe - peas - aloo - spices - teaspoon - potatoes - tomatoes - minutes,Aloo Matar - Cook With Manali,"This basic Aloo Matar is a vegan Indian curry made with potatoes and green peas. It's comforting and pairs well with rice, roti or parathas!"
url49,https://www.cookwithmanali.com/aloo-methi/,3.1,1054,654,4.822,4.825,2019-04-04T00:05:30,2019-04-04T00:05:30,2019-04-03T17:29:17,methi - mustard - leaves - add - aloo - heat - oil - dont - spices - stir,Aloo Methi - Cook With Manali,Lightly spiced Aloo Methi is a popular Indian style stir fry made with potatoes and fresh fenugreek leaves. Vegan and gluten-free.
url50,https://www.cookwithmanali.com/aloo-palak/,6.3,1908,1346,0.852,0.852,2023-03-23T01:05:00,2023-03-23T01:05:00,2023-03-23T23:25:35,cook - spinach - add - palak - recipe - aloo - spices - teaspoon - potatoes - easy - used,Easy Aloo Palak - Cook With Manali,Aloo Palak is a popular Indian dish where spinach and potatoes are cooked together with spices. It is vegan and can be made gluten free.
url51,https://www.cookwithmanali.com/aloo-paratha/,10.7,2259,2264,2.83,2.795,2021-03-31T14:30:29,2021-03-31T14:30:29,2021-04-13T13:31:19,cook - dough - add - paratha - aloo - oil - teaspoon - potatoes - parathas - roll,Aloo Paratha - Cook With Manali,Aloo Paratha is a popular whole wheat Indian flatbread stuffed with spicy mashed potatoes. Best enjoyed with yogurt and butter.
url52,https://www.cookwithmanali.com/aloo-tikki-burger/,4.2,1524,892,7.885,6.074,2016-03-12T00:47:50,2016-03-12T00:47:50,2018-01-02T00:17:44,patties - buns - add - tikki - pan - chili - tomato - burger - mcdonalds - aloo,Aloo Tikki Burger - Cook With Manali,Vegetarian Indian style Aloo Tikki Burger has a spicy potato patty sandwiched between buns layered with cilantro mint chutney and hot sauce!
url53,https://www.cookwithmanali.com/aloo-tikki/,6.1,2193,1303,5.268,3.227,2018-10-23T00:24:08,2018-10-23T00:24:08,2020-11-06T17:24:34,add - tikki - chaat - tikkis - crispy - aloo - potato - oil - potatoes - fry,Aloo Tikki - Cook With Manali,Aloo Tikki is popular Indian street food made with boiled potatoes and spices. These deep fried tikki are enjoyed with a cup of chai and often topped with chutney & yogurt!
url54,https://www.cookwithmanali.com/apple-banana-milkshake-recipe/,1.4,312,296,10.611,8.578,2013-06-21T13:22:47,2013-06-21T13:22:47,2015-07-03T13:16:02,shake - way - add - banana - taste - sugar - recipe - milkshake - small - apple,Apple Banana Milkshake Recipe - Cook With Manali,So this morning I saw some apples and bananas lying in my fruit basket and thought of making a milkshake out of them. It's a very simple recipe which can
url55,https://www.cookwithmanali.com/apple-cinnamon-crepes/,7.8,1591,1652,8.378,6.074,2015-09-14T00:18:33,2015-09-14T00:18:33,2018-01-02T00:23:24,whipped - cinnamon - butter - pan - batter - cream - filling - powder - apple - crepes,Apple Cinnamon Crepes - Cook With Manali,Apple Cinnamon Crepes are filled with cinnamon whipped cream and a delicious apple cinnamon filling and served with caramel sauce on top!
url56,https://www.cookwithmanali.com/apple-cinnamon-cupcakes/,6.2,1277,1325,7.323,0.729,2016-10-03T00:05:17,2016-10-03T00:05:17,2023-05-07T18:27:27,cinnamon - till - mixer - using - powder - buttercream - perfect - cupcakes - frosting - apple,Apple Cinnamon Cupcakes - Cook With Manali,Soft and moist Apple Cinnamon Cupcakes are the perfect fall dessert. Soft apple cupcakes are topped with a delicious cinnamon buttercream!
url57,https://www.cookwithmanali.com/apple-crumb-muffins/,5.2,1053,1100,8.34,0.729,2015-09-28T01:14:58,2015-09-28T01:14:58,2023-05-07T18:36:24,apples - muffins - cup - cinnamon - till - flour - powder - bake - crumb - apple,Apple Crumb Muffins - Cook With Manali,Start your fall mornings with these super moist Apple Crumb Muffins!
url58,https://www.cookwithmanali.com/apple-galette/,4.0,1296,838,9.208,6.074,2014-11-15T12:00:18,2014-11-15T12:00:18,2018-01-02T00:33:02,dough - butter - flour - baking - cream - galette - ice - apples - apple - french,Apple Galette - Cook With Manali,"Flaky, buttery Apple Galette. Perfect with a scoop of vanilla ice cream!"
url59,https://www.cookwithmanali.com/apple-halwa/,2.4,722,510,9.301,6.074,2014-10-12T11:58:23,2014-10-12T11:58:23,2018-01-02T00:33:24,apple - sweet - halwa - sugar - moon - till - add - ghee - water - apples,Apple Halwa - Cook With Manali,"Apple Halwa in an Indian dessert made with grated apples, sugar and ghee!"
url60,https://www.cookwithmanali.com/apple-oatmeal-bars/,3.9,789,821,10.216,0.729,2013-11-12T18:37:03,2013-11-12T18:37:03,2023-05-07T18:01:18,sugar - add - bars - using - f - oatmeal - oats - 350 - apple - ½ - set,Apple & Oatmeal Bars - Cook With Manali,"These bars I made simply because I had tons of apples lying in my fridge. So in an attempt to make something out of them, I came up with these bars. Apple"
url61,https://www.cookwithmanali.com/apple-pecan-salad/,1.2,274,258,10.312,8.578,2013-10-08T13:29:19,2013-10-08T13:29:19,2015-07-03T13:15:38,salad - mustard - onions - thinly - love - dressing - pecans - pecan - pepper - 12 - apple,Apple Pecan Salad - Cook With Manali,I remember eating an apple salad at The Cheesecake Factory for the very first time and I loved it so much that now I have to order it whenever I visit the
url62,https://www.cookwithmanali.com/apple-salted-caramel-scones/,5.4,1098,1138,7.342,0.729,2016-09-26T00:15:13,2016-09-26T00:15:13,2023-05-07T18:31:53,cup - scones - add - butter - caramel - heavy - powder - salted - whisk - apple,Apple Salted Caramel Scones - Cook With Manali,"Flaky and buttery Apple Salted Caramel Scones are the perfect treat to be enjoyed during fall. Packed with warm spices, these are perfect with coffee!"
url63,https://www.cookwithmanali.com/apple-spice-cake-maple-glaze/,5.3,1105,1119,9.337,0.729,2014-09-29T14:21:39,2014-09-29T14:21:39,2023-05-07T18:08:39,cup - glaze - till - pan - cake - fall - maple - powder - apple - spice,Apple Spice Cake with Maple Glaze - Cook With Manali,Soft and moist Apple Spice Cake packed with fall flavors and drizzled with a spiced maple glaze!
url64,https://www.cookwithmanali.com/apple-turnovers-lemon-drizzle/,4.6,941,984,9.26,6.074,2014-10-27T12:50:55,2014-10-27T12:50:55,2018-01-02T00:33:14,pastry - apple - lemon - drizzle - sweet - turnovers - till - using - puff - apples,Apple Turnovers with Lemon Drizzle - Cook With Manali,Easy Apple Turnovers made using Puff Pastry and topped with a Lemon Cream Cheese Drizzle.
url65,https://www.cookwithmanali.com/arbi-fry/,3.3,1254,690,3.945,3.263,2020-02-18T00:05:54,2020-02-18T00:05:54,2020-10-24T15:49:21,way - add - arbi - pan - simple - dont - spices - water - fry - minutes,Simple Arbi Fry - Cook With Manali,"Simple Arbi Fry (Taro Root) with ginger, curry leaves and spices. Garnished with cilantro this makes a nice side with dal and rice or roti."
url66,https://www.cookwithmanali.com/asparagus-peas-stuffed-pasta-shells/,5.2,1086,1094,7.712,4.507,2016-05-14T01:31:00,2016-05-14T01:31:00,2019-07-28T21:29:35,cook - shells - stuffed - pasta - peas - asparagus - cheese - sauce - ragú - minutes,Asparagus & Peas Stuffed Pasta Shells - Cook With Manali,"Stuffed Pasta Shells - Jumbo pasta shells stuffed with asparagus, peas and ricotta. Easy dinner idea for busy weekdays!"
url67,https://www.cookwithmanali.com/atta-biscuits/,6.5,2107,1375,1.233,0.729,2022-11-04T01:00:00,2022-11-04T01:00:00,2023-05-07T18:22:35,wheat - cookies - dough - press - add - chai - recipe - using - biscuits - atta,Atta Biscuits (Wheat Cookies) - Cook With Manali,"Atta Biscuits are whole wheat cookies which are crispy, eggless and best enjoyed with a cup of masala chai!"
url68,https://www.cookwithmanali.com/atta-halwa/,4.0,1254,845,4.099,3.227,2019-12-24T08:10:41,2019-12-24T08:10:41,2020-11-06T17:25:25,wheat - good - halwa - add - ingredients - pan - mom - ghee - water - atta,Atta Halwa (Wheat Halwa) - Cook With Manali,"Simple Indian dessert, Atta Halwa is made with 3 basic ingredients- wheat flour, sugar and ghee. It's best enjoyed warm and gets done in 10 minutes!"
